strategy_id,N_fast,N_slow
nf_0015_ns_2486,15,2486
nf_0015_ns_2512,15,2512
nf_0015_ns_2539,15,2539
nf_0015_ns_2566,15,2566
nf_0015_ns_2593,15,2593
nf_0015_ns_2619,15,2619
nf_0015_ns_2646,15,2646
nf_0015_ns_2673,15,2673
nf_0015_ns_2700,15,2700
nf_0020_ns_0054,20,54
nf_0020_ns_0080,20,80
nf_0020_ns_0107,20,107
nf_0020_ns_0134,20,134
nf_0020_ns_0160,20,160
nf_0020_ns_0187,20,187
nf_0020_ns_0214,20,214
nf_0020_ns_0241,20,241
nf_0020_ns_0267,20,267
nf_0020_ns_0294,20,294
nf_0020_ns_0321,20,321
nf_0020_ns_0348,20,348
nf_0020_ns_0374,20,374
nf_0020_ns_0401,20,401
nf_0020_ns_0428,20,428
nf_0020_ns_0454,20,454
nf_0020_ns_0481,20,481
nf_0020_ns_0508,20,508
nf_0020_ns_0535,20,535
nf_0020_ns_0561,20,561
nf_0020_ns_0588,20,588
nf_0020_ns_0615,20,615
nf_0020_ns_0642,20,642
nf_0020_ns_0668,20,668
nf_0020_ns_0695,20,695
nf_0020_ns_0722,20,722
nf_0020_ns_0748,20,748
nf_0020_ns_0775,20,775
nf_0020_ns_0802,20,802
nf_0020_ns_0829,20,829
nf_0020_ns_0855,20,855
nf_0020_ns_0882,20,882
nf_0020_ns_0909,20,909
nf_0020_ns_0936,20,936
nf_0020_ns_0962,20,962
nf_0020_ns_0989,20,989
nf_0020_ns_1016,20,1016
nf_0020_ns_1042,20,1042
nf_0020_ns_1069,20,1069
nf_0020_ns_1096,20,1096
nf_0020_ns_1123,20,1123
nf_0020_ns_1149,20,1149
nf_0020_ns_1176,20,1176
nf_0020_ns_1203,20,1203
nf_0020_ns_1230,20,1230
nf_0020_ns_1256,20,1256
nf_0020_ns_1283,20,1283
nf_0020_ns_1310,20,1310
nf_0020_ns_1336,20,1336
nf_0020_ns_1363,20,1363
nf_0020_ns_1390,20,1390
nf_0020_ns_1417,20,1417
nf_0020_ns_1443,20,1443
nf_0020_ns_1470,20,1470
nf_0020_ns_1497,20,1497
nf_0020_ns_1524,20,1524
nf_0020_ns_1550,20,1550
nf_0020_ns_1577,20,1577
nf_0020_ns_1604,20,1604
nf_0020_ns_1630,20,1630
nf_0020_ns_1657,20,1657
nf_0020_ns_1684,20,1684
nf_0020_ns_1711,20,1711
nf_0020_ns_1737,20,1737
nf_0020_ns_1764,20,1764
nf_0020_ns_1791,20,1791
nf_0020_ns_1818,20,1818
nf_0020_ns_1844,20,1844
nf_0020_ns_1871,20,1871
nf_0020_ns_1898,20,1898
nf_0020_ns_1924,20,1924
nf_0020_ns_1951,20,1951
nf_0020_ns_1978,20,1978
nf_0020_ns_2005,20,2005
nf_0020_ns_2031,20,2031
nf_0020_ns_2058,20,2058
nf_0020_ns_2085,20,2085
nf_0020_ns_2112,20,2112
nf_0020_ns_2138,20,2138
nf_0020_ns_2165,20,2165
nf_0020_ns_2192,20,2192
nf_0020_ns_2218,20,2218
nf_0020_ns_2245,20,2245
nf_0020_ns_2272,20,2272
nf_0020_ns_2299,20,2299
nf_0020_ns_2325,20,2325
nf_0020_ns_2352,20,2352
nf_0020_ns_2379,20,2379
nf_0020_ns_2406,20,2406
nf_0020_ns_2432,20,2432
nf_0020_ns_2459,20,2459
nf_0020_ns_2486,20,2486
nf_0020_ns_2512,20,2512
nf_0020_ns_2539,20,2539
nf_0020_ns_2566,20,2566
nf_0020_ns_2593,20,2593
nf_0020_ns_2619,20,2619
nf_0020_ns_2646,20,2646
nf_0020_ns_2673,20,2673
nf_0020_ns_2700,20,2700
nf_0026_ns_0054,26,54
nf_0026_ns_0080,26,80
nf_0026_ns_0107,26,107
nf_0026_ns_0134,26,134
nf_0026_ns_0160,26,160
nf_0026_ns_0187,26,187
nf_0026_ns_0214,26,214
nf_0026_ns_0241,26,241
nf_0026_ns_0267,26,267
nf_0026_ns_0294,26,294
nf_0026_ns_0321,26,321
nf_0026_ns_0348,26,348
nf_0026_ns_0374,26,374
nf_0026_ns_0401,26,401
nf_0026_ns_0428,26,428
nf_0026_ns_0454,26,454
nf_0026_ns_0481,26,481
nf_0026_ns_0508,26,508
nf_0026_ns_0535,26,535
nf_0026_ns_0561,26,561
nf_0026_ns_0588,26,588
nf_0026_ns_0615,26,615
nf_0026_ns_0642,26,642
nf_0026_ns_0668,26,668
nf_0026_ns_0695,26,695
nf_0026_ns_0722,26,722
nf_0026_ns_0748,26,748
nf_0026_ns_0775,26,775
nf_0026_ns_0802,26,802
nf_0026_ns_0829,26,829
nf_0026_ns_0855,26,855
nf_0026_ns_0882,26,882
nf_0026_ns_0909,26,909
nf_0026_ns_0936,26,936
nf_0026_ns_0962,26,962
nf_0026_ns_0989,26,989
nf_0026_ns_1016,26,1016
nf_0026_ns_1042,26,1042
nf_0026_ns_1069,26,1069
nf_0026_ns_1096,26,1096
nf_0026_ns_1123,26,1123
nf_0026_ns_1149,26,1149
nf_0026_ns_1176,26,1176
nf_0026_ns_1203,26,1203
nf_0026_ns_1230,26,1230
nf_0026_ns_1256,26,1256
nf_0026_ns_1283,26,1283
nf_0026_ns_1310,26,1310
nf_0026_ns_1336,26,1336
nf_0026_ns_1363,26,1363
nf_0026_ns_1390,26,1390
nf_0026_ns_1417,26,1417
nf_0026_ns_1443,26,1443
nf_0026_ns_1470,26,1470
nf_0026_ns_1497,26,1497
nf_0026_ns_1524,26,1524
nf_0026_ns_1550,26,1550
nf_0026_ns_1577,26,1577
nf_0026_ns_1604,26,1604
nf_0026_ns_1630,26,1630
nf_0026_ns_1657,26,1657
nf_0026_ns_1684,26,1684
nf_0026_ns_1711,26,1711
nf_0026_ns_1737,26,1737
nf_0026_ns_1764,26,1764
nf_0026_ns_1791,26,1791
