split_id,is_blocks,oos_blocks,best_strategy,N_fast,N_slow,is_performance,oos_performance,oos_rank,oos_rank_pct,rank_logit,overfit_event
17,0|2|3|5,1|4|6|7,nf_0058_ns_0080,58,80,2.280670206947151,-0.30060430854468695,2849.0,0.3122122341591756,-0.7897971162187573,True
18,0|2|3|6,1|4|5|7,nf_0502_ns_0535,502,535,2.3343082191313673,-0.13866729502105987,4764.0,0.5221442666081999,0.08863504856246764,False
19,0|2|3|7,1|4|5|6,nf_0058_ns_0080,58,80,2.469055569101563,-0.4621291775876783,5482.0,0.6008550756413067,0.4090291968706828,False
20,0|2|4|5,1|3|6|7,nf_0042_ns_0374,42,374,3.0414491131631953,-0.8695471433104984,4063.0,0.445297083972813,-0.2196910201411812,True
21,0|2|4|6,1|3|5|7,nf_0042_ns_0374,42,374,3.2211937040101253,-1.2371163600596347,3429.0,0.3757947818460864,-0.5074359881203125,True
22,0|2|4|7,1|3|5|6,nf_0042_ns_0374,42,374,3.393689588012989,-1.2002378756963743,5502.0,0.6030475772856829,0.41817966310981664,False
23,0|2|5|6,1|3|4|7,nf_0283_ns_0348,283,348,2.4848401950866115,-0.42823383419159067,4591.0,0.5031791273843456,0.012716680906693919,False
24,0|2|5|7,1|3|4|6,nf_0047_ns_1524,47,1524,2.6264828072877706,-0.3060993113963371,7176.0,0.7865599649199737,1.3043130352556223,False
25,0|2|6|7,1|3|4|5,nf_0047_ns_1497,47,1497,3.0692116602963444,-0.7499242132862209,5826.0,0.6385661039245779,0.5691460353621701,False
26,0|3|4|5,1|2|6|7,nf_0090_ns_0107,90,107,3.0821120758618905,-0.7716063942950919,235.0,0.02565226923920193,-3.6371362159617644,True
27,0|3|4|6,1|2|5|7,nf_0090_ns_0107,90,107,3.0201975047461214,-0.8218458792615267,244.0,0.026638894979171233,-3.598382773691778,True
28,0|3|4|7,1|2|5|6,nf_0090_ns_0107,90,107,3.0679408632161658,-0.629266444685023,1035.0,0.11335233501425127,-2.056946705631933,True
29,0|3|5|6,1|2|4|7,nf_0026_ns_0080,26,80,2.463630141427772,-0.9844031564207747,73.0,0.007893005919754439,-4.833853917677916,True
30,0|3|5|7,1|2|4|6,nf_0026_ns_0080,26,80,2.517050767566668,-0.8688926427024531,181.0,0.0197325147993861,-3.905557705903716,True
31,0|3|6|7,1|2|4|5,nf_0010_ns_0080,10,80,2.470472587089863,-1.0822720661229115,92.0,0.009975882481911861,-4.597558875733949,True
32,0|4|5|6,1|2|3|7,nf_0031_ns_0348,31,348,2.771321665699075,-0.46246896746341276,2421.0,0.26529269896952423,-1.0186384491465237,True
33,0|4|5|7,1|2|3|6,nf_0042_ns_0374,42,374,2.9033997335618342,-0.0047221828770070765,6133.0,0.6722210041657531,0.7182475736069728,False
34,0|4|6|7,1|2|3|5,nf_0042_ns_0481,42,481,3.3647688255587958,-0.6598113521834913,3439.0,0.3768910326682745,-0.5027653032741968,True
35,0|5|6|7,1|2|3|4,nf_0042_ns_0428,42,428,2.373518522491047,0.2682714577197241,6276.0,0.6878973909230431,0.7903076767219469,False
36,1|2|3|4,0|5|6|7,nf_0031_ns_0107,31,107,2.4826382864758676,0.5533057231927209,7703.0,0.8443323832492874,1.6908231637795474,False
37,1|2|3|5,0|4|6|7,nf_0058_ns_0080,58,80,2.1718544421757837,-0.1952680243865813,1636.0,0.17923700942775708,-1.5215253788993313,True
38,1|2|3|6,0|4|5|7,nf_0502_ns_0535,502,535,2.0721297753220638,0.21231174374339612,4256.0,0.4664547248410436,-0.13438296882598,True
39,1|2|3|7,0|4|5|6,nf_0058_ns_0080,58,80,2.355511560358468,-0.36259726220516725,3394.0,0.371957903968428,-0.5238265096243477,True
40,1|2|4|5,0|3|6|7,nf_0026_ns_0160,26,160,2.1924605450248413,1.0451994590670697,9012.0,0.9878316158737119,4.396671130922705,False
41,1|2|4|6,0|3|5|7,nf_0047_ns_0134,47,134,2.501156501264209,-0.6184554946371891,4759.0,0.5215961411971058,0.08643834390994132,False
42,1|2|4|7,0|3|5|6,nf_0026_ns_2379,26,2379,2.927479390329671,-0.7208046654683072,6606.0,0.7240736680552511,0.96475922182111,False
43,1|2|5|6,0|3|4|7,nf_0288_ns_0321,288,321,2.591562560314687,-0.32768135195370884,3705.0,0.40605130453847843,-0.38031342687897046,True
44,1|2|5|7,0|3|4|6,nf_0250_ns_0535,250,535,2.534686401365493,-1.266219662787601,835.0,0.09142731857048893,-2.2963305621405175,True
45,1|2|6|7,0|3|4|5,nf_0277_ns_0829,277,829,2.4599428060909685,-0.7470059921934945,3934.0,0.43115544836658626,-0.2771385069359302,True
46,1|3|4|5,0|2|6|7,nf_0090_ns_0107,90,107,3.0317930421787946,-0.5728233762176425,208.0,0.022692392019294013,-3.762771737031872,True
47,1|3|4|6,0|2|5|7,nf_0090_ns_0107,90,107,2.9670851536853853,-0.6118846888915256,156.0,0.016991887743915808,-4.057881334032801,True
48,1|3|4|7,0|2|5|6,nf_0090_ns_0107,90,107,3.018414202875092,-0.4441035277928784,674.0,0.07377768033326025,-2.530058040508117,True
49,1|3|5|6,0|2|4|7,nf_0031_ns_0107,31,107,2.0328131542147334,1.3942996873039075,5893.0,0.6459109844332384,0.6011133613658187,False
50,1|3|5|7,0|2|4|6,nf_0031_ns_0107,31,107,2.26140668100821,1.292597703619248,7427.0,0.8140758605568954,1.4767148183851768,False
51,1|3|6|7,0|2|4|5,nf_0031_ns_0107,31,107,2.5065161401363762,1.0545011926718293,6979.0,0.7649638237228678,1.1800890995560267,False
52,1|4|5|6,0|2|3|7,nf_0090_ns_0107,90,107,2.4407602219543083,0.2855604017131164,4192.0,0.4594387195790397,-0.1626024382990546,True
53,1|4|5|7,0|2|3|6,nf_0015_ns_0829,15,829,2.9908642179916582,-0.011156787712994323,4413.0,0.48366586274939705,-0.06535980663707044,True
54,1|4|6|7,0|2|3|5,nf_0031_ns_0160,31,160,3.0485538042582268,-0.35100615269612495,3087.0,0.3383030037272528,-0.6708657869646333,True
55,1|5|6|7,0|2|3|4,nf_0031_ns_0160,31,160,2.1085917566931576,0.6964140660978853,7098.0,0.7780092085069064,1.2541024589843432,False
56,2|3|4|5,0|1|6|7,nf_0058_ns_0080,58,80,2.5603925067024997,-1.0394841071946934,256.0,0.027954395965796974,-3.548828254221581,True
57,2|3|4|6,0|1|5|7,nf_0058_ns_0080,58,80,2.4402220301561934,-0.9019379155743938,661.0,0.0723525542644157,-2.5511009962595415,True
58,2|3|4|7,0|1|5|6,nf_0058_ns_0080,58,80,2.7369410672662147,-1.1932536200871766,765.0,0.08375356281517211,-2.3924066538413404,True
59,2|3|5|6,0|1|4|7,nf_0058_ns_0080,58,80,2.7456018391940153,-0.8876766006381853,168.0,0.018307388730541548,-3.981973502078057,True
60,2|3|5|7,0|1|4|6,nf_0058_ns_0080,58,80,3.0846401359928657,-1.1459334903658855,144.0,0.015676386757290068,-4.139799166260901,True
61,2|3|6|7,0|1|4|5,nf_0058_ns_0080,58,80,2.9436202079189204,-1.0313325288134694,390.0,0.042644156983117736,-3.1112848887952866,True
62,2|4|5|6,0|1|3|7,nf_0052_ns_0481,52,481,2.2654630788693515,-0.36733369927719606,4585.0,0.5025213768910327,0.010085593054788535,False
63,2|4|5|7,0|1|3|6,nf_0026_ns_2352,26,2352,2.7473362772277277,-0.8658323283446103,4105.0,0.4499013374260031,-0.20106934007576224,True
64,2|4|6|7,0|1|3|5,nf_0047_ns_0481,47,481,2.814626501035044,-0.38930261940180233,7740.0,0.8483885112913835,1.722017427605701,False
65,2|5|6|7,0|1|3|4,nf_0138_ns_0187,138,187,2.487916291033626,-1.273555889402484,1003.0,0.10984433238324928,-2.0923321515109135,True
66,3|4|5|6,0|1|2|7,nf_0090_ns_0107,90,107,3.3264146885254275,-0.9902340865437421,94.0,0.010195132646349485,-4.575597405154223,True
67,3|4|5|7,0|1|2|6,nf_0090_ns_0107,90,107,3.4011554877938406,-0.799763318507732,231.0,0.025213768910326683,-3.654827966160892,True
68,3|4|6|7,0|1|2|5,nf_0090_ns_0107,90,107,3.3201471724026783,-0.843515018620586,213.0,0.02324051743038807,-3.7383432457928425,True
69,3|5|6|7,0|1|2|4,nf_0090_ns_0107,90,107,2.245934677633749,0.6272984587390076,3719.0,0.40758605568954176,-0.37395353079870025,True
70,4|5|6|7,0|1|2|3,nf_0090_ns_0107,90,107,2.823495984489918,0.03783255984978811,4482.0,0.49122999342249507,-0.035083624455032776,True
