split_id,is_blocks,oos_blocks,best_strategy,N_fast,N_slow,is_performance,oos_performance,oos_rank,oos_rank_pct,rank_logit,overfit_event
1,0|1|2|3,4|5|6|7,nf_0299_ns_2619,299,2619,2.2770634037326927,0.2536177719322715,3050.0,0.33424687568515676,-0.6890390489093204,True
2,0|1|2|4,3|5|6|7,nf_0047_ns_1443,47,1443,3.372918687195202,-0.26643062380424803,4948.0,0.5423152817364613,0.16966697394275262,False
3,0|1|2|5,3|4|6|7,nf_0352_ns_1417,352,1417,2.313292356810158,1.0230018370269431,7277.0,0.7976320982240737,1.3715601245752154,False
4,0|1|2|6,3|4|5|7,nf_0411_ns_1283,411,1283,2.7880810053112026,0.37180107150604835,6808.0,0.746217934663451,1.078541806927617,False
5,0|1|2|7,3|4|5|6,nf_0411_ns_1283,411,1283,3.4574497709792156,-0.08702521529496199,5651.0,0.6193817145362859,0.4869247483602458,False
6,0|1|3|4,2|5|6|7,nf_0047_ns_1711,47,1711,2.6982229482068343,0.6209589483128424,7708.0,0.8448805086603814,1.694999475700655,False
7,0|1|3|5,2|4|6|7,nf_0304_ns_0321,304,321,2.0863132913428015,0.8086758746393451,5457.0,0.5981144485858364,0.39761477112364746,False
8,0|1|3|6,2|4|5|7,nf_0304_ns_0321,304,321,2.5567561601129474,0.3411790170229614,5741.0,0.6292479719359789,0.5289919598550864,False
9,0|1|3|7,2|4|5|6,nf_0299_ns_2619,299,2619,2.9860639959426094,-0.04030102246309982,4873.0,0.5340934005700504,0.13658554747127025,False
10,0|1|4|5,2|3|6|7,nf_0047_ns_2165,47,2165,3.080118216278132,-0.1521140588370065,5070.0,0.5556895417671563,0.22368621184404097,False
11,0|1|4|6,2|3|5|7,nf_0047_ns_2138,47,2138,4.132736952527087,-1.5552561244045962,927.0,0.10151282613461961,-2.180527274712611,True
12,0|1|4|7,2|3|5|6,nf_0047_ns_1550,47,1550,4.062218400682877,-0.6032524345997103,6516.0,0.714207410655558,0.915907075625444,False
13,0|1|5|6,2|3|4|7,nf_0101_ns_1310,101,1310,2.8573063483075596,-0.21325785748690854,3352.0,0.3673536505152379,-0.5435865669736559,True
14,0|1|5|7,2|3|4|6,nf_0101_ns_0134,101,134,2.9745166387151465,-1.0373501975567607,850.0,0.0930716948037711,-2.2766932928788357,True
15,0|1|6|7,2|3|4|5,nf_0347_ns_0802,347,802,3.712826060506248,0.012074765934179174,7836.0,0.8589125191843894,1.8062869471939944,False
16,0|2|3|4,1|5|6|7,nf_0047_ns_1417,47,1417,2.538407379951669,0.9638490108688502,5276.0,0.5782723087042315,0.3156850555919721,False
17,0|2|3|5,1|4|6|7,nf_0502_ns_1417,502,1417,1.3985053797550866,2.108447049349616,7138.0,0.7823942117956588,1.2796736058497764,False
18,0|2|3|6,1|4|5|7,nf_0026_ns_1230,26,1230,1.7533445156814447,0.9916192601852585,4389.0,0.4810348607761456,-0.0758969686788082,True
19,0|2|3|7,1|4|5|6,nf_0502_ns_1417,502,1417,2.1105122451582625,1.381549435981617,7576.0,0.8304099978074984,1.588535779804504,False
20,0|2|4|5,1|3|6|7,nf_0047_ns_1443,47,1443,2.459768033949742,0.8887495211773119,6159.0,0.6750712563034422,0.7312123420684682,False
21,0|2|4|6,1|3|5|7,nf_0047_ns_2085,47,2085,3.199961238185931,-0.8520009689985308,929.0,0.10173207629905723,-2.1781257253206157,True
22,0|2|4|7,1|3|5|6,nf_0042_ns_1417,42,1417,3.434857713107003,-1.0745874366665833,869.0,0.09515457136592853,-2.252261495652177,True
23,0|2|5|6,1|3|4|7,nf_0138_ns_0160,138,160,2.1175810935963866,-0.7505061241160487,172.0,0.018745889059416796,-3.957856980368279,True
24,0|2|5|7,1|3|4|6,nf_0411_ns_1283,411,1283,2.476749291093869,0.7769044196166,5728.0,0.6278228458671344,0.5228880724010609,False
25,0|2|6|7,1|3|4|5,nf_0411_ns_1283,411,1283,3.0149180575815824,0.2338043601582265,5458.0,0.5982240736680553,0.39807085286548033,False
26,0|3|4|5,1|2|6|7,nf_0015_ns_1844,15,1844,2.13693111195223,0.35413116940570244,2698.0,0.29565884674413506,-0.8680565866236907,True
27,0|3|4|6,1|2|5|7,nf_0015_ns_1310,15,1310,2.808309267557397,0.42307866093654317,5465.0,0.5989914492435869,0.40126457229981505,False
28,0|3|4|7,1|2|5|6,nf_0015_ns_0802,15,802,3.019431533964968,-0.1220143521463798,3964.0,0.4344442008331506,-0.26374144805421496,True
29,0|3|5|6,1|2|4|7,nf_0101_ns_0107,101,107,2.397302993432106,-0.4218106482849726,331.0,0.03617627713220785,-3.282504841622931,True
